,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,SATELLITE,SMARTPHONE,TABLET,TEL,TEN,VEH,WATFP,YBL,GRPIP,HHL,HHLANP,HHT,HINCP,HUPAC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,PARTNER,PSF,R18,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL,Cluster
357,Charlotte City (Southwest),4,"Yes, by paying a cell phone company or Internet service provider",Yes,2,8,Yes,No,No,Valid monthly electricity cost in ELEP,60.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,1100.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,7,11.0,Asian and Pacific Island languages,1765.0,Married couple household,130010.0,With children under 6 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,2.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,417.35,Greater than 120%,61 to 80%,No,Cluster 3
358,Charlotte City (South),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,7,No,No,No,Valid monthly electricity cost in ELEP,80.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,1300.0,No,Yes,No,Yes,Rented,1 vehicle,Included in rent or in condo fee,7,17.0,Asian and Pacific Island languages,1970.0,Nonfamily household: Male householder: Living alone,100000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,113.85,Greater than 120%,81 to 100%,No,Cluster 0
359,Charlotte City (Southwest),2,"Yes, by paying a cell phone company or Internet service provider",Yes,1,6,No,No,No,Valid monthly electricity cost in ELEP,70.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,"Bottled, tank, or LP gas",Yes,Yes,No,Yes,2,No,1100.0,No,Yes,No,Yes,Rented,1 vehicle,Valid annual water cost in WATP,8,15.0,Asian and Pacific Island languages,1730.0,Married couple household,100000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,239.61,Greater than 120%,81 to 100%,No,Cluster 0
360,Charlotte City (Central),2,"Yes, by paying a cell phone company or Internet service provider",Yes,2,6,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,3,No,830.0,No,Yes,No,Yes,Rented,3 vehicles,Valid annual water cost in WATP,5,14.0,English only,9500.0,Nonfamily household: Female householder: Not living alone,80000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Female householder, male partner",No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,50.0,Greater than 120%,51 to 60%,No,Cluster 0
361,Charlotte City (Northwest),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,2,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,5,No,1100.0,No,No,No,Yes,Rented,1 vehicle,Valid annual water cost in WATP,6,101.0,English only,9500.0,Nonfamily household: Female householder: Living alone,8200.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,1 person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,51.06,30% and Below,61 to 80%,Yes,Cluster 1
362,Charlotte City (South),2,"Yes, by paying a cell phone company or Internet service provider",Yes,4,3,Yes,No,No,Valid monthly electricity cost in ELEP,90.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,7,No,1068.0,No,Yes,No,Yes,Occupied without payment of rent,2 vehicles,No charge,5,36.0,English only,9500.0,Married couple household,18000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,2 or more persons 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,94.05,31 to 50%,30% and Below,No,Cluster 1
363,Charlotte City (Central),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,5,Yes,No,No,Valid monthly electricity cost in ELEP,120.0,Yes,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,No,No,No,Yes,4,No,130.0,No,Yes,No,Yes,Rented,No vehicles,No charge,2008,27.0,English only,9500.0,Nonfamily household: Male householder: Living alone,11000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,77.0,30% and Below,30% and Below,No,Cluster 1
364,Charlotte City (Northwest),2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,230.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,7,No,1000.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,8,32.0,English only,9500.0,"Other family household: Female householder, no spouse present",48000.0,With children 6 to 17 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",10 to 19 years,1.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,48.12,81 to 100%,61 to 80%,Yes,Cluster 3
365,Charlotte City (Central),1,"No access to the Internet at this house, apartment, or mobile home",Yes,2,2,Yes,No,No,Valid monthly electricity cost in ELEP,30.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,No,No,Yes,5,No,1068.0,No,No,No,Yes,Occupied without payment of rent,1 vehicle,Valid annual water cost in WATP,1,36.0,English only,9500.0,Nonfamily household: Male householder: Living alone,26300.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",10 to 19 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,1 person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,64.0,51 to 60%,30% and Below,No,Cluster 1
366,Charlotte City (Northeast),1,"Yes, by paying a cell phone company or Internet service provider",Yes,1,7,Yes,No,No,Valid monthly electricity cost in ELEP,120.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,2,No,990.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,7,27.0,English only,9500.0,Nonfamily household: Female householder: Living alone,51000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,134.0,81 to 100%,81 to 100%,No,Cluster 0
367,Charlotte City (Northwest),1,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,250.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,No,Yes,No,Yes,6,No,850.0,No,Yes,No,Yes,Rented,1 vehicle,Valid annual water cost in WATP,7,28.0,English only,9500.0,Nonfamily household: Male householder: Living alone,50000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,1 person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,137.48,81 to 100%,61 to 80%,No,Cluster 1
368,Charlotte City (Northwest),1,"No access to the Internet at this house, apartment, or mobile home",Yes,2,3,Yes,No,No,Valid monthly electricity cost in ELEP,110.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,730.0,No,Yes,No,Yes,Rented,2 vehicles,Valid annual water cost in WATP,7,81.0,English only,9500.0,Nonfamily household: Female householder: Living alone,13000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",10 to 19 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,243.54,30% and Below,51 to 60%,Yes,Cluster 1
369,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,2,"Yes, by paying a cell phone company or Internet service provider",Yes,1,7,Yes,No,No,Valid monthly electricity cost in ELEP,200.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Electricity,Yes,No,No,Yes,2,No,780.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,6,34.0,English only,9500.0,Married couple household,39700.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,2 or more persons 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,49.69,61 to 80%,81 to 100%,Yes,Cluster 1
370,Charlotte City (South),1,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,Yes,No,Valid monthly electricity cost in ELEP,80.0,No,Valid annual fuel cost in FULP,Valid monthly gas cost in GASP,Electricity,Yes,Yes,No,Yes,4,No,1300.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,6,25.0,English only,9500.0,Nonfamily household: Female householder: Living alone,70000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,55.44,Greater than 120%,61 to 80%,No,Cluster 0
371,Charlotte City (Northeast),3,"Yes, by paying a cell phone company or Internet service provider",Yes,2,2,Yes,No,No,Valid monthly electricity cost in ELEP,120.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,"Bottled, tank, or LP gas",Yes,Yes,No,Yes,6,No,750.0,No,Yes,Yes,Yes,Rented,3 vehicles,No charge,2,12.0,English only,9500.0,"Other family household: Male householder, no spouse present",87600.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,A single-family home on 10 or more acres,Households without a same-sex married couple,37.0,Greater than 120%,51 to 60%,No,Cluster 0
372,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",4,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,70.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,4,No,850.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,8,98.0,English only,9500.0,"Other family household: Female householder, no spouse present",12400.0,With children under 6 years and 6 to 17 years,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"Yes, is a multigenerational household",5 to 9 years,1.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,1 or more subfamilies,1 or more persons under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,60.14,30% and Below,51 to 60%,Yes,Cluster 3
373,Charlotte City (Southwest),2,"Yes, by paying a cell phone company or Internet service provider",Yes,2,9,Yes,No,No,Valid monthly electricity cost in ELEP,60.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,3,No,1900.0,No,Yes,No,Yes,Rented,2 vehicles,Valid annual water cost in WATP,2009,36.0,English only,9500.0,Nonfamily household: Female householder: Not living alone,0.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,54.99,30% and Below,101 to 120%,Yes,Cluster 0
374,Charlotte City (Southwest),1,"Yes, by paying a cell phone company or Internet service provider",Yes,1,7,Yes,No,No,Valid monthly electricity cost in ELEP,80.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,3,No,810.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,5,55.0,English only,9500.0,Nonfamily household: Female householder: Living alone,20000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,98.2,31 to 50%,61 to 80%,Yes,Cluster 1
375,Charlotte City (Southwest),1,"Yes, by paying a cell phone company or Internet service provider",Yes,4,2,Yes,No,No,Valid monthly electricity cost in ELEP,150.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,No,No,Yes,6,No,600.0,No,Yes,No,Yes,Rented,1 vehicle,Valid annual water cost in WATP,2,23.0,English only,9500.0,Nonfamily household: Male householder: Living alone,43000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,178.72,81 to 100%,31 to 50%,No,Cluster 1
376,Charlotte City (Central),2,"Yes, by paying a cell phone company or Internet service provider",Yes,2,6,Yes,No,No,Valid monthly electricity cost in ELEP,70.0,Yes,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,840.0,No,Yes,Yes,Yes,Rented,No vehicles,No charge,6,34.0,English only,9500.0,"Other family household: Female householder, no spouse present",32400.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,60.0,51 to 60%,51 to 60%,Yes,Cluster 1
377,Charlotte City (Northeast),2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,5,Yes,No,No,Valid monthly electricity cost in ELEP,110.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,No,Yes,No,Yes,5,No,910.0,Yes,Yes,Yes,Yes,Rented,1 vehicle,Included in rent or in condo fee,6,34.0,English only,9500.0,Nonfamily household: Male householder: Not living alone,36000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Male householder, female partner",No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,88.0,61 to 80%,51 to 60%,Yes,Cluster 1
378,Charlotte City (Central),1,"Yes, by paying a cell phone company or Internet service provider",Yes,0,9,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,1,No,1000.0,No,Yes,Yes,Yes,Rented,1 vehicle,Included in rent or in condo fee,7,29.0,English only,9500.0,Nonfamily household: Female householder: Living alone,45000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,43.0,81 to 100%,81 to 100%,No,Cluster 0
379,Mecklenburg County (South)--Matthews Town (South),8,"Yes, by paying a cell phone company or Internet service provider",Yes,4,2,Yes,No,No,Valid monthly electricity cost in ELEP,130.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,9,No,1600.0,No,Yes,Yes,Yes,Rented,3 vehicles,Valid annual water cost in WATP,9,25.0,English only,9500.0,Married couple household,87500.0,With children under 6 years and 6 to 17 years,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,6.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,70.31,81 to 100%,81 to 100%,No,Cluster 3
380,Mecklenburg County (South)--Matthews Town (South),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,8,No,No,No,Valid monthly electricity cost in ELEP,100.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,1100.0,No,Yes,No,Yes,Rented,1 vehicle,Included in rent or in condo fee,6,72.0,English only,9500.0,Nonfamily household: Male householder: Living alone,20000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,129.65,31 to 50%,61 to 80%,Yes,Cluster 1
381,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,70.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,No,Yes,No,Yes,6,No,950.0,No,Yes,Yes,Yes,Rented,3 vehicles,No charge,2,12.0,English only,9500.0,Married couple household,109000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,52.22,Greater than 120%,51 to 60%,No,Cluster 0
382,Charlotte City (Central),2,"Yes, by paying a cell phone company or Internet service provider",Yes,2,8,Yes,No,No,Valid monthly electricity cost in ELEP,170.0,Yes,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,3,No,400.0,No,Yes,Yes,Yes,Rented,No vehicles,Included in rent or in condo fee,2006,47.0,English only,9500.0,"Other family household: Male householder, no spouse present",14500.0,With children 6 to 17 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,1.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,93.0,30% and Below,31 to 50%,Yes,Cluster 1
383,Charlotte City (Central),2,"Yes, by paying a cell phone company or Internet service provider",Yes,1,9,Yes,No,No,Valid monthly electricity cost in ELEP,80.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,2800.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,2016,17.0,English only,9500.0,Nonfamily household: Male householder: Not living alone,198000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Male householder, female partner",No subfamilies,No person under 18 in household,No person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,123.0,Greater than 120%,Greater than 120%,No,Cluster 0
384,Charlotte City (Southwest),2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,150.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,5,No,1800.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,5,23.0,English only,9500.0,Nonfamily household: Female householder: Not living alone,103000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Female householder, male partner",No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,194.44,Greater than 120%,101 to 120%,No,Cluster 0
385,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,2,Yes,No,No,Valid monthly electricity cost in ELEP,80.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,No,Yes,No,Yes,3,No,900.0,Yes,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,7,18.0,English only,9500.0,Nonfamily household: Female householder: Living alone,65000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple, ,Greater than 120%,51 to 60%,No,Cluster 0
386,Charlotte City (Northwest),3,"Yes, by paying a cell phone company or Internet service provider",Yes,3,9,Yes,No,No,Valid monthly electricity cost in ELEP,120.0,Yes,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,No,No,No,Yes,5,No,770.0,No,Yes,No,Yes,Rented,1 vehicle,Included in rent or in condo fee,8,38.0,English only,9500.0,"Other family household: Female householder, no spouse present",28000.0,With children 6 to 17 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,2.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,166.94,31 to 50%,31 to 50%,Yes,Cluster 3
387,Charlotte City (Central),5,"Yes, by paying a cell phone company or Internet service provider",Yes,3,4,Yes,No,No,Valid monthly electricity cost in ELEP,180.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,5,No,950.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,3,26.0,English only,9500.0,"Other family household: Male householder, no spouse present",60000.0,With children 6 to 17 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,3.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Male householder, female partner",No subfamilies,1 or more persons under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,218.0,61 to 80%,61 to 80%,No,Cluster 3
388,Charlotte City (Central),1,"Yes, by paying a cell phone company or Internet service provider",Yes,0,8,Yes,No,No,Valid monthly electricity cost in ELEP,40.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,2,No,1400.0,No,Yes,No,Yes,Rented,1 vehicle,Valid annual water cost in WATP,2008,17.0,Other Indo-European languages,1350.0,Nonfamily household: Male householder: Living alone,103000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,43.0,Greater than 120%,101 to 120%,No,Cluster 0
